GSM1619841|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619842|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619843|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619844|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619845|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619846|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619847|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619848|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619849|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619850|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619851|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619852|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619853|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619854|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619855|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619856|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619857|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619858|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619859|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619860|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619861|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619862|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619863|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619864|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619865|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619866|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619867|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619868|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619869|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619870|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619871|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619872|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619873|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619874|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1619875|N/A|N/A|N/A|N/A|Cells|healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
