GSM4293205|VS1|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Long_Protocol|FSH|None
GSM4293206|VS4|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|Long_Protocol|FSH|None
GSM4293207|VS1|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Long_Protocol|FSH|None
GSM4293208|VS4|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|Long_Protocol|FSH|None
GSM4293209|VS1|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Long_Protocol|FSH|None
GSM4293210|VS5|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Long_Protocol|FSH|None
GSM4293211|VS1|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Long_Protocol|FSH|None
GSM4293212|VS5|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Long_Protocol|FSH|None
GSM4293213|VS2|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Long_Protocol|FSH|None
GSM4293214|VS6|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|Long_Protocol|FSH|None
GSM4293215|VS2|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Long_Protocol|FSH|None
GSM4293216|VS6|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|Long_Protocol|FSH|None
GSM4293217|VS6|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Long_Protocol|FSH|None
GSM4293218|VS10|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|Long_Protocol|FSH|None
GSM4293219|VS6|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Long_Protocol|FSH|None
GSM4293220|VS10|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|Long_Protocol|FSH|None
GSM4293221|VS8|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Short_Protocol|FSH|None
GSM4293222|VS11|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Short_Protocol|FSH|None
GSM4293223|VS8|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Short_Protocol|FSH|None
GSM4293224|VS11|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Short_Protocol|FSH|None
GSM4293225|VS9|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Short_Protocol|FSH|None
GSM4293226|VS13|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Long_Protocol|FSH|None
GSM4293227|VS9|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Short_Protocol|FSH|None
GSM4293228|VS13|N/A|F|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|Long_Protocol|FSH|None
