GSM2059592|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059593|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059594|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059595|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059596|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059597|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059598|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059599|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059600|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059601|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059602|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059603|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM2059604|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|case|N/A|N/A|N/A
GSM2059605|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|case|N/A|N/A|N/A
GSM2059606|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|case|N/A|N/A|N/A
GSM2059607|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|case|N/A|N/A|N/A
GSM2059608|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|case|N/A|N/A|N/A
GSM2059609|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|case|N/A|N/A|N/A
