GSM1586887|N/A|N/A|M|18|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586888|N/A|N/A|F|28|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586889|N/A|N/A|M|21|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586890|N/A|N/A|M|18|N/A|N/A|N/A|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586891|N/A|N/A|F|19|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586892|N/A|N/A|F|28|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586893|N/A|N/A|F|19|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586894|N/A|N/A|M|18|N/A|N/A|Nerve|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586895|N/A|N/A|M|18|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586896|N/A|N/A|F|19|N/A|N/A|Nerve|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586897|N/A|N/A|F|28|N/A|N/A|N/A|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586898|N/A|N/A|M|21|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586899|N/A|N/A|F|28|N/A|N/A|Nerve|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586900|N/A|N/A|M|21|N/A|N/A|N/A|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586901|N/A|N/A|F|28|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586902|N/A|N/A|F|19|N/A|N/A|N/A|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586903|N/A|N/A|M|21|N/A|N/A|Nerve|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586904|N/A|N/A|M|18|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586905|N/A|N/A|F|28|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586906|N/A|N/A|M|21|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586907|N/A|N/A|M|18|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586908|N/A|N/A|F|19|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586909|N/A|N/A|M|21|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1586910|N/A|N/A|F|19|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
