GSM1955237|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955238|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955239|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955240|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955241|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955242|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955243|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955244|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955245|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955246|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955247|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
GSM1955248|N/A|N/A|N/A|N/A|N/A|Glioblastoma|N/A|glioma sphere-forming cells|N/A|N/A|N/A|Radiation Therapy|Disease
