GSM4844263|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844264|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844265|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844266|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844267|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844268|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844269|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844270|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844271|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844272|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844273|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844274|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|ETP|N/A|N/A
GSM4844275|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844276|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844277|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844278|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844279|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844280|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844281|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844282|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844283|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844284|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844285|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
GSM4844286|N/A|N/A|M|N/A|N/A|N/A|Cells|N/A|in_vitro|case|MFPR|N/A|N/A
