GSM3832990|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3832991|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3832992|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3832993|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3832994|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3832995|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3832996|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3832997|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3832998|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3832999|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3833000|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3833001|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3833002|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3833003|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3833004|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3833005|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|ctrl|control|N/A|None
GSM3833006|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3833007|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3833008|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3833009|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3833010|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3833011|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3833012|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|ctrl|control|N/A|None
GSM3833013|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3833014|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3833015|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|isotype_antibody|N/A|None
GSM3833016|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3833017|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3833018|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3833019|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C_antibody|N/A|None
GSM3833020|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
GSM3833021|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|NKG2C/A_antibody|N/A|None
