GSM4318921|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|MO_6|N/A|N/A
GSM4318922|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|MO_7|N/A|N/A
GSM4318923|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|MO_9|N/A|N/A
GSM4318924|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|MO_10|N/A|N/A
GSM4318925|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|DC_6|Absence of the active form of vitamin D|N/A
GSM4318926|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|DC_7|Absence of the active form of vitamin D|N/A
GSM4318927|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|DC_9|Absence of the active form of vitamin D|N/A
GSM4318928|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|DC_10|Absence of the active form of vitamin D|N/A
GSM4318929|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|TL_6|Presence of the active form of vitamin D|N/A
GSM4318930|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|TL_7|Presence of the active form of vitamin D|N/A
GSM4318931|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|TL_9|Presence of the active form of vitamin D|N/A
GSM4318932|N/A|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|TL_10|Presence of the active form of vitamin D|N/A
