GSM2309170|N/A|N/A|N/A|N/A|N/A|cancer|Prostate|LNCaP|in_vitro|N/A|N/A|N/A|N/A
GSM2309171|N/A|N/A|N/A|N/A|N/A|cancer|Prostate|LNCaP|in_vitro|N/A|N/A|N/A|N/A
GSM2309172|N/A|N/A|N/A|N/A|N/A|N/A|Prostate|PrEC|in_vitro|N/A|N/A|N/A|N/A
GSM2309173|N/A|N/A|N/A|N/A|N/A|N/A|Prostate|PrEC|in_vitro|N/A|N/A|N/A|N/A
GSM2309174|N/A|N/A|N/A|N/A|N/A|cancer|N/A|CAF|in_vitro|N/A|N/A|N/A|N/A
GSM2309175|N/A|N/A|N/A|N/A|N/A|cancer|N/A|CAF|in_vitro|N/A|N/A|N/A|N/A
GSM2309176|N/A|N/A|N/A|N/A|N/A|cancer|N/A|CAF|in_vitro|N/A|N/A|N/A|N/A
GSM2309177|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NAF|in_vitro|N/A|N/A|N/A|N/A
GSM2309178|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NAF|in_vitro|N/A|N/A|N/A|N/A
GSM2309179|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NAF|in_vitro|N/A|N/A|N/A|N/A
GSM2309180|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2309181|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2309182|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2309183|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2309184|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
