GSM739937|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739938|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739939|N/A|N/A|N/A|N/A|N/A|N/A|Cells|embryonic stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739940|N/A|N/A|N/A|N/A|N/A|N/A|Cells|fibroblasts|in_vitro|N/A|N/A|N/A|N/A
GSM739941|N/A|N/A|N/A|N/A|N/A|N/A|Cells|colorectal cancer cells|in_vitro|N/A|N/A|N/A|Disease
GSM739942|N/A|N/A|N/A|N/A|N/A|N/A|Cells|breast cancer cells|in_vitro|N/A|N/A|N/A|Disease
GSM739943|N/A|N/A|N/A|N/A|N/A|N/A|Cells|mesenchymal stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739944|N/A|N/A|N/A|N/A|N/A|N/A|Cells|osteosarcoma cancer cells|in_vitro|N/A|N/A|N/A|Disease
GSM739945|N/A|N/A|N/A|N/A|N/A|N/A|Cells|mesenchymal stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739946|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739947|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739948|N/A|N/A|N/A|N/A|N/A|N/A|Cells|fibrosarcoma cancer cells|in_vitro|N/A|N/A|N/A|Disease
GSM739949|N/A|N/A|N/A|N/A|N/A|N/A|Cells|embryonic stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739950|N/A|N/A|N/A|N/A|N/A|N/A|Cells|T-antigen-transfected fibroblasts|in_vitro|N/A|N/A|N/A|Genetic
GSM739951|N/A|N/A|N/A|N/A|N/A|N/A|Cells|differentiated osteoblast cells|in_vitro|N/A|N/A|N/A|N/A
GSM739952|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739953|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739954|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739955|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739956|N/A|N/A|N/A|N/A|N/A|N/A|Cells|embryonal carcinoma cancer cells|in_vitro|N/A|N/A|N/A|Disease
GSM739957|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739958|N/A|N/A|N/A|N/A|N/A|N/A|Cells|induced pluripotent stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739959|N/A|N/A|N/A|N/A|N/A|N/A|Cells|nullipotent teratocarcinoma cancer cells|in_vitro|N/A|N/A|N/A|Disease
GSM739960|N/A|N/A|N/A|N/A|N/A|N/A|Cells|GFP-transfected fibroblasts|in_vitro|N/A|N/A|N/A|Genetic
GSM739961|N/A|N/A|N/A|N/A|N/A|N/A|Cells|pool cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739962|N/A|N/A|N/A|N/A|N/A|N/A|Cells|pool cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739963|N/A|N/A|N/A|N/A|N/A|N/A|Cells|pool cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739964|N/A|N/A|N/A|N/A|N/A|N/A|Cells|pool cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739965|N/A|N/A|N/A|N/A|N/A|N/A|Cells|pool cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739966|N/A|N/A|N/A|N/A|N/A|N/A|Cells|pool cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739967|N/A|N/A|N/A|N/A|N/A|N/A|Cells|pool cells|in_vitro|N/A|N/A|N/A|Genetic
GSM739968|N/A|N/A|N/A|N/A|N/A|N/A|Cells|pool cells|in_vitro|N/A|N/A|N/A|Genetic
