GSM499092|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|N/A|Disease
GSM499093|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|65°C|Disease
GSM499094|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|68.5°C|Disease
GSM499095|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|72°C|Disease
GSM499096|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|2h antibody incubation|Disease
GSM499097|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|12h antibody incubation|Disease
GSM499098|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|12h antibody incubation|Disease
GSM499099|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|12h antibody incubation|Disease
GSM499100|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|12h antibody incubation|Disease
GSM499102|N/A|N/A|N/A|N/A|N/A|Healthy|Stomach|Ges-1|in_vitro|ctrl|N/A|N/A|N/A
GSM499103|N/A|N/A|N/A|N/A|N/A|Healthy|Stomach|Ges-1|in_vitro|ctrl|N/A|N/A|N/A
GSM499104|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|N/A|Disease
GSM499105|N/A|N/A|N/A|N/A|N/A|Healthy|Stomach|Ges-1|in_vitro|ctrl|N/A|N/A|N/A
GSM499106|N/A|N/A|N/A|N/A|N/A|Healthy|Stomach|Ges-1|in_vitro|ctrl|N/A|N/A|N/A
GSM499107|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|N/A|Disease
GSM499108|N/A|N/A|N/A|N/A|N/A|Healthy|Stomach|Ges-1|in_vitro|ctrl|N/A|N/A|N/A
GSM499109|N/A|Asian|M|N/A|N/A|Mucinous adenocarcinoma|Stomach|MGC-803|in_vitro|case|N/A|N/A|Disease
