GSM1906514|N/A|N/A|F|N/A|N/A|healthy|Cells|ES-HUES-06|in_vitro|N/A|N/A|N/A|N/A
GSM1906515|N/A|N/A|F|N/A|N/A|healthy|Cells|ES-HUES-09|in_vitro|N/A|N/A|N/A|N/A
GSM1906516|N/A|N/A|F|N/A|N/A|healthy|Cells|ES-SEES-01|in_vitro|N/A|N/A|N/A|N/A
GSM1906517|N/A|N/A|F|N/A|N/A|healthy|Cells|ES-SEES-02|in_vitro|N/A|N/A|N/A|N/A
GSM1906518|N/A|N/A|F|N/A|N/A|healthy|Cells|ES-SEES-04|in_vitro|N/A|N/A|N/A|N/A
GSM1906519|N/A|N/A|F|N/A|N/A|healthy|Cells|ES-SEES-05|in_vitro|N/A|N/A|N/A|N/A
GSM1906520|N/A|N/A|F|N/A|N/A|healthy|Cells|ES-SEES-07|in_vitro|N/A|N/A|N/A|N/A
GSM1906521|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-AM-iPS-03|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906522|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-AM-iPS-08|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906523|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-AM-iPS-13|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906524|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-AM-iPS-20|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906525|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-UtE-iPS-04|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906526|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-UtE-iPS-06|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906527|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-UtE-iPS-07|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906528|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-UtE-iPS-11|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906529|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-Edom-iPS-01|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906530|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-Edom-iPS-02|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906531|N/A|N/A|F|N/A|N/A|healthy|Cells|Retro-iPS-Edom-iPS-03|in_vitro|N/A|N/A|retrovirus|Genetic
GSM1906532|N/A|N/A|F|N/A|N/A|healthy|Cells|Sendai-iPS-Edom-iPS-23|in_vitro|N/A|N/A|Sendai virus|Genetic
GSM1906533|N/A|N/A|F|N/A|N/A|healthy|Cells|Sendai-iPS-Edom-iPS-05|in_vitro|N/A|N/A|Sendai virus|Genetic
GSM1906534|N/A|N/A|F|N/A|N/A|healthy|Cells|Sendai-iPS-Edom-iPS-30|in_vitro|N/A|N/A|Sendai virus|Genetic
GSM1906535|N/A|N/A|F|N/A|N/A|healthy|Cells|Sendai-iPS-Edom-iPS-35|in_vitro|N/A|N/A|Sendai virus|Genetic
GSM1906536|N/A|N/A|F|N/A|N/A|healthy|Cells|Sendai-iPS-Edom-iPS-39|in_vitro|N/A|N/A|Sendai virus|Genetic
GSM1906537|N/A|N/A|F|N/A|N/A|healthy|Cells|Sendai-iPS-Edom-iPS-31|in_vitro|N/A|N/A|Sendai virus|Genetic
GSM1906538|N/A|N/A|F|N/A|N/A|healthy|Cells|Episomal-iPS-Edom-iPS-01|in_vitro|N/A|N/A|episomal vectors|Genetic
GSM1906539|N/A|N/A|F|N/A|N/A|healthy|Cells|Episomal-iPS-Edom-iPS-08|in_vitro|N/A|N/A|episomal vectors|Genetic
GSM1906540|N/A|N/A|F|N/A|N/A|healthy|Cells|Episomal-iPS-Edom-iPS-09|in_vitro|N/A|N/A|episomal vectors|Genetic
GSM1906541|N/A|N/A|F|N/A|N/A|healthy|Cells|Primary-AM936EP|in_vitro|N/A|N/A|N/A|N/A
GSM1906542|N/A|N/A|F|N/A|N/A|healthy|Cells|Primary-Edom22|in_vitro|N/A|N/A|N/A|N/A
GSM1906543|N/A|N/A|F|N/A|N/A|healthy|Cells|Primary-UtE1104|in_vitro|N/A|N/A|N/A|N/A
