GSM853409|donor2|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853410|donor4|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853411|donor5|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853412|donor6|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853413|donor11|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853414|donor2|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853415|donor2|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853416|donor4|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853417|donor4|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853418|donor5|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853419|donor5|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853420|ESC|N/A|N/A|N/A|N/A|Healthy|N/A|Embryonic Stem Cells|in_vitro|ctrl|N/A|N/A|N/A
GSM853421|ESC|N/A|N/A|N/A|N/A|Healthy|N/A|Embryonic Stem Cells|in_vitro|ctrl|N/A|N/A|N/A
GSM853422|ESC|N/A|N/A|N/A|N/A|Healthy|N/A|Embryonic Stem Cells|in_vitro|ctrl|N/A|N/A|N/A
GSM979892|donor2|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|case|N/A|N/A|Genetic
GSM979893|donor5|N/A|N/A|N/A|N/A|Healthy|Other|N/A|in_vitro|case|N/A|N/A|Genetic
