GSM853409|donor2|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853410|donor4|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853411|donor5|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853412|donor6|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853413|donor11|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853414|donor2|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853415|donor2|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853416|donor4|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853417|donor4|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853418|donor5|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853419|donor5|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|N/A|Genetic
GSM853420|ESC|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853421|ESC|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM853422|ESC|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM909610|donor2|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM909611|donor4|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|15 Gy|Environmental
GSM909612|donor4|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM909613|donor5|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|15 Gy|Environmental
GSM909614|donor5|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM909615|donor6|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|15 Gy|Environmental
GSM909616|donor6|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM909617|donor11|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|case|N/A|15 Gy|Environmental
GSM909618|donor11|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM909619|donor11|N/A|N/A|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
