GSM799844|N/A|N/A|N/A|N/A|wildtype|healthy|Cells|HCT116|in_vitro|ctrl|DMSO_72hr_rep2|N/A|Small Molecule
GSM795362|N/A|N/A|N/A|N/A|IDH2mutant|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_E5|N/A|Disease
GSM795406|N/A|N/A|N/A|N/A|wildtype|colorectal cancer|Cells|HCT116 DNMT1;DNMT3 double knockout|in_vitro|ctrl|SssI_Methylated_rep2|N/A|Genetic
GSM799865|N/A|N/A|N/A|N/A|wildtype|healthy|Cells|HCT116 DNMT1;DNMT3 double knockout|in_vitro|ctrl|DKO_WGA_rep8|N/A|Genetic
GSM795386|N/A|N/A|N/A|N/A|wildtype|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_P01|N/A|Disease
GSM853930|N/A|N/A|N/A|N/A|IDH1mutant|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_Q11|N/A|Disease
GSM799782|N/A|N/A|N/A|N/A|IDH1mutant|glioblastoma|N/A|N/A|N/A|case|Glioblastoma_F05|N/A|Disease
GSM795358|N/A|N/A|N/A|N/A|IDH1mutant|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_B8|N/A|Disease
GSM799854|N/A|N/A|N/A|N/A|wildtype|healthy|Cells|HCT116|in_vitro|ctrl|DMSO_72hr_rep7|N/A|Small Molecule
GSM853936|N/A|N/A|N/A|N/A|wildtype|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_Q10|N/A|Disease
GSM799797|N/A|N/A|N/A|N/A|IDH1mutant|glioblastoma|N/A|N/A|N/A|case|Glioblastoma_L12|N/A|Disease
GSM795393|N/A|N/A|N/A|N/A|wildtype|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_P12|N/A|Disease
GSM795378|N/A|N/A|N/A|N/A|wildtype|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_D5|N/A|Disease
GSM795411|N/A|N/A|N/A|N/A|wildtype|healthy|Cells|HCT116 DNMT1;DNMT3 double knockout|in_vitro|ctrl|HCT116_DKO_rep4|N/A|Genetic
GSM795370|N/A|N/A|N/A|N/A|wildtype|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_B1|N/A|Disease
GSM795381|N/A|N/A|N/A|N/A|wildtype|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_E2|N/A|Disease
GSM799808|N/A|N/A|N/A|N/A|wildtype|glioblastoma|N/A|N/A|N/A|case|Glioblastoma_G04|N/A|Disease
GSM795372|N/A|N/A|N/A|N/A|wildtype|cholangiocarcinoma|N/A|N/A|N/A|case|Cholangiocarcinoma_B6|N/A|Disease
