GSM1108073|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108074|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108075|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108076|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108077|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108078|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108079|N/A|N/A|N/A|N/A|N/A|N/A|Pancreas|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108080|N/A|N/A|N/A|N/A|N/A|N/A|Pancreas|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108081|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108082|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108083|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108084|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108085|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108086|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108087|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108088|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108089|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108090|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108091|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1108092|N/A|N/A|N/A|M|N/A|N/A|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1108093|N/A|N/A|N/A|M|N/A|N/A|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1108094|N/A|N/A|N/A|M|N/A|N/A|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
