GSM2405688|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Mesenchymal GSC|N/A|Disease
GSM2405689|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Mesenchymal GSC|N/A|Disease
GSM2405690|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Mesenchymal GSC|N/A|Disease
GSM2405691|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Proneural GSC|N/A|Disease
GSM2405692|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Proneural GSC|N/A|Disease
GSM2405693|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Proneural GSC|N/A|Disease
GSM2405694|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Proneural GSC|N/A|Disease
GSM2405695|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Proneural GSC|N/A|Disease
GSM2405696|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Proneural GSC|N/A|Disease
GSM2405697|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Proneural GSC|N/A|Disease
GSM2405698|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 2|N/A|Disease
GSM2405699|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 2|N/A|Disease
GSM2405700|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 1|N/A|Disease
GSM2405701|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 2|N/A|Disease
GSM2405702|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 1|N/A|Disease
GSM2405703|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 2|N/A|Disease
GSM2405704|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 1|N/A|Disease
GSM2405705|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Proneural GSC|N/A|Disease
GSM2405706|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 2|N/A|Disease
GSM2405707|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 3|N/A|Disease
GSM2405708|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Mesenchymal GSC|N/A|Disease
GSM2405709|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype|N/A|Disease
GSM2405710|N/A|N/A|N/A|N/A|N/A|glioblastoma|Cells|glioma stem cells|in_vitro|N/A|Unknown phenotype 1|N/A|Disease
