GSM867947|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM868016|N/A|N/A|M|N/A|N/A|N/A|Cells|HESMC267|in_vitro|N/A|N/A|N/A|N/A
GSM867974|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51IPS5|in_vitro|N/A|N/A|N/A|N/A
GSM868071|Patient2|N/A|F|Adult|N/A|N/A|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM867960|N/A|N/A|F|N/A|N/A|N/A|Cells|WA09|in_vitro|N/A|N/A|N/A|N/A
GSM867984|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51IPS12|in_vitro|N/A|N/A|N/A|N/A
GSM868062|Patient2|N/A|F|Adult|N/A|N/A|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM867980|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51IPS10|in_vitro|N/A|N/A|N/A|N/A
GSM868014|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF259|in_vitro|N/A|N/A|N/A|N/A
GSM868072|Patient248|N/A|M|Fetal|20|N/A|Lung|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868049|Patient250|N/A|F|Fetal|20|N/A|Kidney|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868061|Patient1|N/A|M|Adult|N/A|N/A|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM867948|N/A|N/A|M|N/A|N/A|N/A|Cells|HES4|in_vitro|N/A|N/A|N/A|N/A
GSM868056|Patient248|N/A|M|Fetal|20|N/A|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM867966|N/A|N/A|F|N/A|N/A|N/A|Cells|LLC9|in_vitro|N/A|N/A|N/A|N/A
GSM868033|Patient249|N/A|F|Fetal|18|N/A|Stomach|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868086|Patient1|N/A|M|Adult|N/A|N/A|Adipose|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868058|Patient250|N/A|F|Fetal|20|N/A|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868010|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51|in_vitro|N/A|N/A|N/A|N/A
GSM868026|N/A|N/A|M|N/A|N/A|N/A|Cells|KDIB2|in_vitro|N/A|N/A|N/A|N/A
GSM868077|Patient30|N/A|M|Fetal|15|N/A|Lung|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868048|Patient249|N/A|F|Fetal|18|N/A|Kidney|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868066|Patient249|N/A|F|Fetal|18|N/A|Spleen|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868021|N/A|N/A|M|N/A|N/A|N/A|Cells|HBdSMC265|in_vitro|N/A|N/A|N/A|N/A
GSM868006|Patient68810|N/A|M|Fetal|N/A|N/A|Cells|Hydatidiform.Complete.Mole|in_vitro|N/A|N/A|N/A|N/A
GSM868045|Patient250|N/A|F|Fetal|20|N/A|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868027|N/A|N/A|M|N/A|N/A|N/A|Cells|MRC5|in_vitro|N/A|N/A|N/A|N/A
GSM868005|Patient67734|N/A|M|Fetal|N/A|N/A|Cells|Hydatidiform.Complete.Mole|in_vitro|N/A|N/A|N/A|N/A
GSM868000|N/A|N/A|F|N/A|N/A|N/A|Cells|iPS201B7|in_vitro|N/A|N/A|N/A|N/A
GSM867949|N/A|N/A|M|N/A|N/A|N/A|Cells|MEL1|in_vitro|N/A|N/A|N/A|N/A
GSM868038|Patient5|N/A|F|Adult|N/A|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868029|Patient2|N/A|F|Adult|N/A|N/A|Bladder|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM867994|N/A|N/A|M|N/A|N/A|N/A|Cells|ChondiPS1|in_vitro|N/A|N/A|N/A|N/A
GSM868046|Patient26|N/A|F|Fetal|14|N/A|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868020|N/A|N/A|M|N/A|N/A|N/A|Cells|HREpiC256|in_vitro|N/A|N/A|N/A|N/A
GSM867962|N/A|N/A|F|N/A|N/A|N/A|Cells|LLC2|in_vitro|N/A|N/A|N/A|N/A
GSM867973|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51IPS5|in_vitro|N/A|N/A|N/A|N/A
GSM867989|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51IPS14|in_vitro|N/A|N/A|N/A|N/A
GSM868050|Patient30|N/A|M|Fetal|15|N/A|Kidney|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868035|Patient26|N/A|F|Fetal|14|N/A|Stomach|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM867945|N/A|N/A|M|N/A|N/A|N/A|Cells|SIVF002|in_vitro|N/A|N/A|N/A|N/A
GSM868017|N/A|N/A|F|N/A|N/A|N/A|Cells|HSkMC268|in_vitro|N/A|N/A|N/A|N/A
GSM868088|Patient1|N/A|M|Adult|N/A|N/A|Bladder|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM867992|N/A|N/A|M|N/A|N/A|N/A|Cells|ChondiPS2|in_vitro|N/A|N/A|N/A|N/A
GSM867939|N/A|N/A|F|N/A|N/A|N/A|Cells|CSC14|in_vitro|N/A|N/A|N/A|N/A
GSM868034|Patient1|N/A|M|Adult|N/A|N/A|Stomach|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM867940|N/A|N/A|M|N/A|N/A|N/A|Cells|FES22|in_vitro|N/A|N/A|N/A|N/A
GSM867979|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51IPS9|in_vitro|N/A|N/A|N/A|N/A
GSM867985|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51IPS12|in_vitro|N/A|N/A|N/A|N/A
GSM867957|N/A|N/A|F|N/A|N/A|N/A|Cells|WA07|in_vitro|N/A|N/A|N/A|N/A
GSM868074|Patient250|N/A|F|Fetal|20|N/A|Lung|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM868002|Patient61655|N/A|M|Fetal|N/A|N/A|Cells|Hydatidiform.Complete.Mole|in_vitro|N/A|N/A|N/A|N/A
GSM867938|N/A|N/A|F|N/A|N/A|N/A|Cells|MEL4|in_vitro|N/A|N/A|N/A|N/A
GSM867999|N/A|N/A|F|N/A|N/A|N/A|Cells|iPS201B7|in_vitro|N/A|N/A|N/A|N/A
GSM868009|N/A|N/A|M|N/A|N/A|N/A|Cells|KERA1|in_vitro|N/A|N/A|N/A|N/A
GSM868011|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51|in_vitro|N/A|N/A|N/A|N/A
