GSM2230688|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day3|DMSO|None
GSM2230689|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day3|DMSO|None
GSM2230690|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day3|DMSO|None
GSM2230691|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day3|30µM Cyclosporine A|Small Molecule
GSM2230692|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day3|30µM Cyclosporine A|Small Molecule
GSM2230693|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day3|30µM Cyclosporine A|Small Molecule
GSM2230694|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day5|DMSO|None
GSM2230695|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day5|DMSO|None
GSM2230696|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day5|DMSO|None
GSM2230697|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day5|30µM Cyclosporine A|Small Molecule
GSM2230698|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day5|30µM Cyclosporine A|Small Molecule
GSM2230699|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day5|30µM Cyclosporine A|Small Molecule
GSM2230700|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day8|DMSO|None
GSM2230701|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day8|DMSO|None
GSM2230702|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|ctrl|ConDMSO_day8|DMSO|None
GSM2230703|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day8|30µM Cyclosporine A|Small Molecule
GSM2230704|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day8|30µM Cyclosporine A|Small Molecule
GSM2230705|N/A|N/A|N/A|N/A|primary human hepatocytes|healthy|Liver|N/A|in_vitro|case|CsA_day8|30µM Cyclosporine A|Small Molecule
