GSM627711|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human Umbilical Vein Endothelial Cell Line HUVEC-BF4|in_vitro|N/A|N/A|N/A|N/A
GSM627712|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human parthenote LLC2|in_vitro|N/A|N/A|N/A|N/A
GSM627713|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human parthenote LLC2|in_vitro|N/A|N/A|N/A|N/A
GSM627714|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human parthenote LLC6|in_vitro|N/A|N/A|N/A|N/A
GSM627715|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human parthenote LLC6|in_vitro|N/A|N/A|N/A|N/A
GSM627716|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human parthenote LLC7|in_vitro|N/A|N/A|N/A|N/A
GSM627717|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human parthenote LLC8|in_vitro|N/A|N/A|N/A|N/A
GSM627718|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human parthenote LLC9|in_vitro|N/A|N/A|N/A|N/A
GSM627719|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human embryonic stem cell line HES2|in_vitro|N/A|N/A|N/A|N/A
GSM627720|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human embryonic stem cell line HES2|in_vitro|N/A|N/A|N/A|N/A
GSM627721|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human embryonic stem cell line HSF6|in_vitro|N/A|N/A|N/A|N/A
GSM627722|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human embryonic stem cell line MIZ6|in_vitro|N/A|N/A|N/A|N/A
GSM627723|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human embryonic stem cell line WA07|in_vitro|N/A|N/A|N/A|N/A
GSM627724|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human embryonic stem cell line WA07|in_vitro|N/A|N/A|N/A|N/A
GSM627725|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|Human blood|in_vivo|N/A|N/A|N/A|N/A
GSM627726|N/A|N/A|N/A|N/A|N/A|N/A|Ovary|Human Tissue Ovary|in_vivo|N/A|N/A|N/A|N/A
GSM627727|N/A|N/A|N/A|N/A|N/A|N/A|Skin|Postmortem-derived primary dermal fibroblasts SC30|in_vitro|N/A|N/A|N/A|N/A
GSM627728|N/A|N/A|N/A|N/A|N/A|N/A|Skin|"Human dermal fibroblasts, neonatal"|in_vitro|N/A|N/A|N/A|N/A
GSM627729|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Human embryonic stem cell line MEL1|in_vitro|N/A|N/A|N/A|N/A
GSM627730|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Postmortem-derived primary astrocyte SC01|in_vitro|N/A|N/A|N/A|N/A
GSM627731|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Postmortem-derived primary astrocyte SC11|in_vitro|N/A|N/A|N/A|N/A
GSM627732|N/A|N/A|N/A|N/A|N/A|N/A|Other|"Bone marrow-derived mesenchymal stem cells, CD105+, CD34-, SC31-MSC"|in_vitro|N/A|N/A|N/A|N/A
GSM627733|N/A|N/A|N/A|N/A|N/A|N/A|Prostate|Human Tissue Prostate|in_vivo|N/A|N/A|N/A|N/A
GSM627734|N/A|N/A|N/A|N/A|N/A|N/A|Skin|"Human dermal fibroblasts, neonatal"|in_vitro|N/A|N/A|N/A|N/A
GSM627735|N/A|N/A|N/A|N/A|N/A|N/A|Skin|human foreskin fibroblasts|in_vitro|N/A|N/A|N/A|N/A
GSM627736|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Human Tissue Breast|in_vivo|N/A|N/A|N/A|N/A
GSM627737|N/A|N/A|N/A|N/A|N/A|N/A|Colon|Human Tissue Colon|in_vivo|N/A|N/A|N/A|N/A
GSM627738|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Unmethylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627739|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Unmethylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627740|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Unmethylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627741|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Unmethylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627742|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Partially methylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627743|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Partially methylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627744|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Partially methylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627745|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Partially methylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627746|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Methylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627747|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Methylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627748|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Methylated control|in_vitro|ctrl|N/A|N/A|N/A
GSM627749|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Methylated control|in_vitro|ctrl|N/A|N/A|N/A
