GSM3994782|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|ctrl|DMSO_day1|DMSO|None
GSM3994783|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day1|GSK3685032|Small Molecule
GSM3994784|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|ctrl|DMSO_day2|DMSO|None
GSM3994785|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day2|GSK3685032|Small Molecule
GSM3994786|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK862_day2|GSK3685032|Small Molecule
GSM3994787|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK477_day2|GSK3685032|Small Molecule
GSM3994788|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|ctrl|DMSO_day4|DMSO|None
GSM3994789|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994790|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994791|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994792|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994793|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994794|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994795|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK862_day4|GSK3685032|Small Molecule
GSM3994796|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK477_day4|GSK3685032|Small Molecule
GSM3994797|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|ctrl|DMSO_day6|DMSO|None
GSM3994798|N/A|N/A|N/A|N/A|N/A|N/A|N/A|MV411|in_vitro|case|GSK032_day6|GSK3685032|Small Molecule
GSM3994799|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|ctrl|DMSO_day1|DMSO|None
GSM3994800|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day1|GSK3685032|Small Molecule
GSM3994801|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|ctrl|DMSO_day2|DMSO|None
GSM3994802|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day2|GSK3685032|Small Molecule
GSM3994803|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK862_day2|GSK3685032|Small Molecule
GSM3994804|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK477_day2|GSK3685032|Small Molecule
GSM3994805|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|ctrl|DMSO_day4|DMSO|None
