GSM3994833|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|SKM-1|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM3994834|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|SKM-1|in_vitro|N/A|N/A|GSK3484862|Small Molecule
GSM3994835|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|GDM-1|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM3994836|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|GDM-1|in_vitro|N/A|N/A|GSK3484862|Small Molecule
GSM3994837|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|MOLM-13|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM3994838|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|MOLM-13|in_vitro|N/A|N/A|GSK3484862|Small Molecule
GSM3994839|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|THP-1|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM3994840|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|THP-1|in_vitro|N/A|N/A|GSK3484862|Small Molecule
GSM3994841|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|SHI-1|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM3994842|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|SHI-1|in_vitro|N/A|N/A|GSK3484862|Small Molecule
GSM3994843|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|NOMO-1|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM3994844|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|NOMO-1|in_vitro|N/A|N/A|GSK3484862|Small Molecule
GSM3994845|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|SKNO-1|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM3994846|N/A|N/A|N/A|N/A|N/A|Acute Myeloid Leukemia|N/A|SKNO-1|in_vitro|N/A|N/A|GSK3484862|Small Molecule
