GSM1237743|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|cryo-preserved|N/A
GSM1237744|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|FFPE|N/A
GSM1237745|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|HOPE, paraffin|N/A
GSM1237746|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|cryo-preserved|N/A
GSM1237747|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|FFPE|N/A
GSM1237748|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|HOPE, paraffin|N/A
GSM1237749|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|cryo-preserved|N/A
GSM1237750|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|FFPE|N/A
GSM1237751|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|HOPE, paraffin|N/A
GSM1237752|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|cryo-preserved|N/A
GSM1237753|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|FFPE|N/A
GSM1237754|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|HOPE, paraffin|N/A
GSM1237755|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|cryo-preserved|N/A
GSM1237756|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|FFPE|N/A
GSM1237757|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|HOPE, paraffin|N/A
GSM1237758|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|cryo-preserved|N/A
GSM1237759|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|FFPE|N/A
GSM1237760|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|HOPE, paraffin|N/A
GSM1237761|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|cryo-preserved|N/A
GSM1237762|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|FFPE|N/A
GSM1237763|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|HOPE, paraffin|N/A
GSM1237764|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|cryo-preserved|N/A
GSM1237765|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|FFPE|N/A
GSM1237766|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|HOPE, paraffin|N/A
GSM1237767|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|cryo-preserved|N/A
GSM1237768|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|FFPE|N/A
GSM1237769|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|HOPE, paraffin|N/A
GSM1237770|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|cryo-preserved|N/A
GSM1237771|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|FFPE|N/A
GSM1237772|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|HOPE, paraffin|N/A
GSM1237773|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|cryo-preserved|N/A
GSM1237774|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|FFPE|N/A
GSM1237775|N/A|N/A|N/A|N/A|N/A|control|Lung|N/A|in_vivo|ctrl|N/A|HOPE, paraffin|N/A
GSM1237776|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|cryo-preserved|N/A
GSM1237777|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|FFPE|N/A
GSM1237778|N/A|N/A|N/A|N/A|N/A|tumor|Lung|N/A|in_vivo|case|N/A|HOPE, paraffin|N/A
