GSM770785|N/A|N/A|N/A|N/A|IDH1 wild-type|Healthy|Cells|HCT116|in_vitro|ctrl|Parent1|N/A|Genetic
GSM770786|N/A|N/A|N/A|N/A|IDH1 wild-type|Healthy|Cells|HCT116|in_vitro|ctrl|Parent1|N/A|Genetic
GSM770787|N/A|N/A|N/A|N/A|IDH1 wild-type|Healthy|Cells|HCT116|in_vitro|ctrl|Parent1|N/A|Genetic
GSM770788|N/A|N/A|N/A|N/A|IDH1 wild-type|Healthy|Cells|HCT116|in_vitro|ctrl|Parent1|N/A|Genetic
GSM770789|N/A|N/A|N/A|N/A|IDH1 R132H plus|Healthy|Cells|HOG|in_vitro|case|IDH1R132Hplus|N/A|Genetic
GSM770790|N/A|N/A|N/A|N/A|IDH1 wild-type plus|Healthy|Cells|HOG|in_vitro|ctrl|IDH1Wtplus|N/A|Genetic
GSM770791|N/A|N/A|N/A|N/A|IDH1 R132H|Healthy|Cells|HCT116|in_vitro|case|Knockin1|N/A|Genetic
GSM770792|N/A|N/A|N/A|N/A|IDH1 R132H|Healthy|Cells|HCT116|in_vitro|case|Knockin1|N/A|Genetic
GSM770793|N/A|N/A|N/A|N/A|IDH1 R132H|Healthy|Cells|HCT116|in_vitro|case|Knockin1|N/A|Genetic
GSM770794|N/A|N/A|N/A|N/A|IDH1 R132H|Healthy|Cells|HCT116|in_vitro|case|Knockin1|N/A|Genetic
GSM770795|N/A|N/A|N/A|N/A|IDH1 R132H|Healthy|Cells|HCT116|in_vitro|case|Knockin2|N/A|Genetic
GSM770796|N/A|N/A|N/A|N/A|IDH1 R132H|Healthy|Cells|HCT116|in_vitro|case|Knockin2|N/A|Genetic
GSM770797|N/A|N/A|N/A|N/A|IDH1 R132H|Healthy|Cells|HCT116|in_vitro|case|Knockin2|N/A|Genetic
GSM770798|N/A|N/A|N/A|N/A|IDH1 R132H|Healthy|Cells|HCT116|in_vitro|case|Knockin2|N/A|Genetic
