GSM5527895|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527896|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527897|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527898|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527899|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527900|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527901|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527902|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527903|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527904|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527905|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM5527906|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
