GSM5105105|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|ctrl|Control|control|N/A
GSM5105106|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|ctrl|Control|control|N/A
GSM5105107|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|ctrl|Control|control|N/A
GSM5105108|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|ctrl|Control|control|N/A
GSM5105109|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|ctrl|Control|control|N/A
GSM5105110|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|ctrl|Control|control|N/A
GSM5105111|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|ctrl|Control|control|N/A
GSM5105112|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|ctrl|Control|control|N/A
GSM5105113|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|case|Vitamin D|vitamin D|N/A
GSM5105114|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|case|Vitamin D|vitamin D|N/A
GSM5105115|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|case|Vitamin D|vitamin D|N/A
GSM5105116|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|case|Vitamin D|vitamin D|N/A
GSM5105117|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|case|Vitamin D|vitamin D|N/A
GSM5105118|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|case|Vitamin D|vitamin D|N/A
GSM5105119|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|case|Vitamin D|vitamin D|N/A
GSM5105120|N/A|N/A|N/A|N/A|N/A|N/A|Other|N/A|N/A|case|Vitamin D|vitamin D|N/A
