GSM3946355|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|control|None
GSM3946356|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|IFN-alpha|Small Molecule
GSM3946357|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|IFN-gamma|Small Molecule
GSM3946358|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|TNF-alpha|Small Molecule
GSM3946359|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|control|None
GSM3946360|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|IFN-alpha|Small Molecule
GSM3946361|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|IFN-gamma|Small Molecule
GSM3946362|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|TNF-alpha|Small Molecule
GSM3946363|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|ctrl|N/A|control|None
GSM3946364|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|IFN-alpha|Small Molecule
GSM3946365|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|IFN-gamma|Small Molecule
GSM3946366|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|case|N/A|TNF-alpha|Small Molecule
