GSM4617837|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|N/A|Disease
GSM4617838|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|N/A|Disease
GSM4617839|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|N/A|Disease
GSM4617840|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|N/A|Disease
GSM4617841|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|empty vector|Genetic
GSM4617842|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|empty vector|Genetic
GSM4617843|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3|Genetic
GSM4617844|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3|Genetic
GSM4617845|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3 R740E|Genetic
GSM4617846|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3 R740E|Genetic
GSM4617847|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3 R743E|Genetic
GSM4617848|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3 R743E|Genetic
GSM4617849|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3 R745D|Genetic
GSM4617850|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3 R745D|Genetic
GSM4617851|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3 R749E|Genetic
GSM4617852|N/A|N/A|N/A|N/A|Colon cancer|Colon|N/A|in_vitro|N/A|N/A|N/A|DNMT3B3 R749E|Genetic
