GSM765860|N/A|N/A|N/A|103|N/A|healthy|Whole Blood|CD4+ cells|in_vivo|ctrl|N/A|N/A|N/A
GSM765861|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|CD4+ cells|in_vivo|ctrl|N/A|N/A|N/A
GSM765862|N/A|N/A|N/A|97|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765863|N/A|N/A|N/A|95|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765864|N/A|N/A|N/A|97|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765865|N/A|N/A|N/A|97|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765866|N/A|N/A|N/A|98|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765867|N/A|N/A|N/A|96|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765868|N/A|N/A|N/A|100|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765869|N/A|N/A|N/A|90|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765870|N/A|N/A|N/A|91|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765871|N/A|N/A|N/A|92|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765872|N/A|N/A|N/A|89|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765873|N/A|N/A|N/A|90|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765874|N/A|N/A|N/A|89|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765875|N/A|N/A|N/A|90|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765876|N/A|N/A|N/A|91|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765877|N/A|N/A|N/A|89|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765878|N/A|N/A|N/A|89|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765879|N/A|N/A|N/A|90|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765880|N/A|N/A|N/A|90|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765881|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765882|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765883|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765884|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765885|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765886|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765887|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765888|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765889|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765890|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765891|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765892|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765893|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765894|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765895|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765896|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765897|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765898|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
GSM765899|N/A|N/A|N/A|Newborn|N/A|healthy|Whole Blood|PBMNC|in_vivo|ctrl|N/A|N/A|N/A
