GSM2046619|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046620|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|DNMT1shRNA#51|Genetic
GSM2046621|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|DNMT1shRNA#51|Genetic
GSM2046622|N/A|N/A|N/A|N/A|N/A|cancer|Colon|RKO|in_vitro|N/A|N/A|N/A|Genetic
GSM2046623|N/A|N/A|N/A|N/A|N/A|cancer|Colon|RKO|in_vitro|N/A|N/A|DNMT1shRNA#51|Genetic
GSM2046624|N/A|N/A|N/A|N/A|N/A|cancer|Colon|RKO|in_vitro|N/A|N/A|DNMT1shRNA#51|Genetic
GSM2046625|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046626|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|DNMT1shRNA#49|Genetic
GSM2046627|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|DNMT1shRNA#49|Genetic
GSM2046628|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|DNMT1shRNA#51|Genetic
GSM2046629|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046630|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046631|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046632|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046633|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046634|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046635|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046636|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046637|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046638|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046639|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM2046640|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|DNMT1shRNA#49|Genetic
GSM2046641|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|DNMT1shRNA#51|Genetic
GSM2046642|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|DNMT1shRNA#51|Genetic
GSM2046643|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|10nM DAC|Small Molecule
GSM2046644|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|100nM DAC|Small Molecule
GSM2046645|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|1μM DAC|Small Molecule
GSM2046646|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|UHRF1shRNA|Genetic
GSM2046647|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|UHRF1shRNA|Genetic
GSM2046648|N/A|N/A|N/A|N/A|N/A|cancer|Colon|RKO|in_vitro|N/A|N/A|UHRF1shRNA|Genetic
GSM2046649|N/A|N/A|N/A|N/A|N/A|cancer|Colon|RKO|in_vitro|N/A|N/A|UHRF1shRNA|Genetic
GSM2046650|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|10nM DAC|Small Molecule
GSM2046651|N/A|N/A|N/A|N/A|N/A|cancer|Colon|HCT116|in_vitro|N/A|N/A|UHRF1shRNA + 10nM DAC|Genetic
