GSM287924|N/A|N/A|N/A|N/A|N/A|healthy|Other|CD34+|in_vivo|ctrl|Normal Bone Marrow CD34+ StyI|N/A|None
GSM287925|N/A|N/A|N/A|N/A|N/A|healthy|Other|CD34+|in_vivo|ctrl|Normal Bone Marrow CD34+ StyI|N/A|None
GSM287926|N/A|N/A|N/A|N/A|N/A|healthy|Other|CD34+|in_vivo|ctrl|Normal Bone Marrow CD34+ StyI + HpaII|N/A|None
GSM287927|N/A|N/A|N/A|N/A|N/A|healthy|Other|CD34+|in_vivo|ctrl|Normal Bone Marrow CD34+ StyI + HpaII|N/A|None
GSM287928|N/A|N/A|N/A|N/A|N/A|healthy|Other|CD34+|in_vivo|ctrl|Normal Bone Marrow CD34+ StyI + MspI|N/A|None
GSM287929|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI|N/A|None
GSM287930|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI|N/A|None
GSM287931|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + HpaII|N/A|None
GSM287932|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + HpaII|N/A|None
GSM287933|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + MspI|N/A|None
GSM287934|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI|N/A|None
GSM287935|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI|N/A|None
GSM287936|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + HpaII|N/A|None
GSM287937|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + HpaII|N/A|None
GSM287938|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + MspI|N/A|None
GSM287939|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI|N/A|None
GSM287940|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI|N/A|None
GSM287941|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + HpaII|N/A|None
GSM287942|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + HpaII|N/A|None
GSM287943|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + MspI|N/A|None
GSM287944|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI|N/A|None
GSM287945|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI|N/A|None
GSM287946|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + MspI|N/A|None
GSM287947|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + HpaII|N/A|None
GSM287948|N/A|N/A|N/A|N/A|N/A|healthy|Whole Blood|N/A|in_vivo|ctrl|Normal Peripheral Blood StyI + HpaII|N/A|None
GSM287949|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Placenta StyI|N/A|None
GSM287950|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Placenta StyI|N/A|None
GSM287951|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Placenta StyI + HpaII|N/A|None
GSM287952|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Placenta StyI + HpaII|N/A|None
GSM287953|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Placenta StyI + MspI|N/A|None
GSM287954|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Normal Bone Marrow StyI|N/A|None
GSM287955|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Normal Bone Marrow StyI|N/A|None
GSM287956|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Normal Bone Marrow StyI + HpaII|N/A|None
GSM287957|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Normal Bone Marrow StyI + HpaII|N/A|None
GSM287958|N/A|N/A|N/A|N/A|N/A|healthy|Other|N/A|in_vivo|ctrl|Normal Bone Marrow StyI + MspI|N/A|None
