GSM1536317|N/A|N/A|F|29|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536318|N/A|N/A|F|21|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536319|N/A|N/A|M|31|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536320|N/A|N/A|M|27|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536321|N/A|N/A|M|18|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536322|N/A|N/A|F|36|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536323|N/A|N/A|M|23|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536324|N/A|N/A|M|37|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536325|N/A|N/A|M|18|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536326|N/A|N/A|F|26|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536327|N/A|N/A|M|18|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536328|N/A|N/A|M|22|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536329|N/A|N/A|M|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536330|N/A|N/A|M|26|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536331|N/A|N/A|M|20|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536332|N/A|N/A|F|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536333|N/A|N/A|M|18|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536334|N/A|N/A|F|20|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536335|N/A|N/A|F|18|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536336|N/A|N/A|F|21|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536337|N/A|N/A|F|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536338|N/A|N/A|M|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536339|N/A|N/A|F|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536340|N/A|N/A|F|35|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536341|N/A|N/A|M|22|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536342|N/A|N/A|F|27|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536343|N/A|N/A|F|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536344|N/A|N/A|M|25|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536345|N/A|N/A|F|32|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536346|N/A|N/A|F|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536347|N/A|N/A|M|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536348|N/A|N/A|F|24|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536349|N/A|N/A|M|19|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536350|N/A|N/A|M|20|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536351|N/A|N/A|M|28|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536352|N/A|N/A|M|39|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536353|N/A|N/A|M|18|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
GSM1536354|N/A|N/A|M|20|N/A|N/A|N/A|N/A|in_vivo|N/A|N/A|N/A|Environmental
