GSM5396263|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|ctrl|N/A|N/A|Disease
GSM5396264|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|ctrl|N/A|N/A|Disease
GSM5396265|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|case|N/A|N/A|Disease
GSM5396266|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|case|N/A|FliC|Disease
GSM5396267|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|case|N/A|FliC|Disease
GSM5396268|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|case|N/A|N/A|Disease
GSM5396269|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|case|N/A|FliC|Disease
GSM5396270|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|case|N/A|FliC|Disease
GSM5396271|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|ctrl|N/A|N/A|Disease
GSM5396272|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|case|N/A|N/A|Disease
GSM5396273|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|ctrl|N/A|N/A|Disease
GSM5396274|N/A|N/A|F|N/A|N/A|N/A|Colon|N/A|in_vitro|ctrl|N/A|N/A|Disease
