GSM670897|NA06985|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670898|NA06991|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670899|NA06993|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670900|NA06994|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670901|NA07000|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670902|NA07019|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670903|NA07022|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670904|NA07029|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670905|NA07034|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670906|NA07048|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670907|NA07055|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670908|NA07056|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670909|NA07345|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670910|NA07348|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670911|NA07357|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670912|NA10830|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670913|NA10831|European|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM670914|NA10835|European|M|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
