GSM5075970|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|ctrl|NC|Negative control (NC)|Genetic
GSM5075971|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|case|siVPS39|VPS39-silenced (siVPS39)|Genetic
GSM5075972|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|ctrl|NC|Negative control (NC)|Genetic
GSM5075973|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|case|siVPS39|VPS39-silenced (siVPS39)|Genetic
GSM5075974|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|ctrl|NC|Negative control (NC)|Genetic
GSM5075975|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|case|siVPS39|VPS39-silenced (siVPS39)|Genetic
GSM5075976|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|ctrl|NC|Negative control (NC)|Genetic
GSM5075977|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|case|siVPS39|VPS39-silenced (siVPS39)|Genetic
GSM5075978|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|ctrl|NC|Negative control (NC)|Genetic
GSM5075979|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|case|siVPS39|VPS39-silenced (siVPS39)|Genetic
GSM5075980|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|ctrl|NC|Negative control (NC)|Genetic
GSM5075981|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|N/A|in_vitro|case|siVPS39|VPS39-silenced (siVPS39)|Genetic
