GSM1429299|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429300|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429301|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429302|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429303|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429304|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429305|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429306|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429307|N/A|N/A|N/A|N/A|N/A|Osteosarcoma|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429308|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429309|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429310|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429311|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429312|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429313|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429314|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429315|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429316|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429317|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429318|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM1429319|N/A|N/A|N/A|N/A|N/A|Colon Cancer|N/A|N/A|N/A|N/A|N/A|N/A|N/A
