GSM2573675|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573609|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573477|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573427|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573497|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573603|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573458|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573373|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573500|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573689|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573488|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573400|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573597|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573683|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573395|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573584|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573540|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573636|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573383|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
GSM2573532|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A
