GSM2150047|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|ctrl|N/A|N/A|None
GSM2150048|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|ctrl|N/A|N/A|None
GSM2150049|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|ctrl|N/A|N/A|None
GSM2150050|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine|Small Molecule
GSM2150051|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine|Small Molecule
GSM2150052|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine|Small Molecule
GSM2150053|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine and Panobinostat|Small Molecule
GSM2150054|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine and Panobinostat|Small Molecule
GSM2150055|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine and Panobinostat|Small Molecule
GSM2150056|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine and Valproic Acid|Small Molecule
GSM2150057|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine and Valproic Acid|Small Molecule
GSM2150058|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Decitabine and Valproic Acid|Small Molecule
GSM2150059|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Panobinostat|Small Molecule
GSM2150060|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Panobinostat|Small Molecule
GSM2150061|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Panobinostat|Small Molecule
GSM2150062|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Valproic Acid|Small Molecule
GSM2150063|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Valproic Acid|Small Molecule
GSM2150064|N/A|N/A|N/A|N/A|N/A|N/A|Cells|U937|in_vitro|case|N/A|Valproic Acid|Small Molecule
