GSM3639452|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639453|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639454|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639455|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639456|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639457|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639458|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639459|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639460|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639461|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639462|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639463|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639464|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639465|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639466|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639467|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639468|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639469|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639470|N/A|N/A|M|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639471|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639472|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639473|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639474|N/A|N/A|F|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
GSM3639475|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A|N/A|N/A
