GSM1906632|H14|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906633|H15|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906634|H6|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906635|H12|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906636|H8|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906637|H11|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906638|H20|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906639|H13|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906640|H7|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906641|H21|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906642|H18|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906643|H9|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906644|H10|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906645|H16|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906646|H17|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906647|H22|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1906648|H19|N/A|N/A|N/A|N/A|Healthy|Uterus|N/A|in_vivo|ctrl|N/A|N/A|N/A
