GSM5277910|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|ctrl|parental|N/A|N/A
GSM5277911|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|ctrl|parental|N/A|N/A
GSM5277912|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|ctrl|parental|N/A|N/A
GSM5277913|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|ctrl|parental|N/A|N/A
GSM5277914|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|ctrl|parental|N/A|N/A
GSM5277915|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|ctrl|parental|N/A|N/A
GSM5277916|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|case|3-BrPA-R|3-bromopyruvate|Small Molecule
GSM5277917|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|case|3-BrPA-R|3-bromopyruvate|Small Molecule
GSM5277918|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|case|3-BrPA-R|3-bromopyruvate|Small Molecule
GSM5277919|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|case|3-BrPA-R|3-bromopyruvate|Small Molecule
GSM5277920|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|case|3-BrPA-R|3-bromopyruvate|Small Molecule
GSM5277921|N/A|N/A|N/A|N/A|UM-UC-3|bladder cancer|Bladder|UM-UC-3|in_vitro|case|3-BrPA-R|3-bromopyruvate|Small Molecule
