GSM2087419|N/A|N/A|N/A|N/A|Breast|N/A|Breast|BT-549|in_vitro|N/A|N/A|N/A|N/A
GSM2087420|N/A|N/A|N/A|N/A|Breast|N/A|Breast|HS 578T|in_vitro|N/A|N/A|N/A|N/A
GSM2087421|N/A|N/A|N/A|N/A|Breast|N/A|Breast|MCF7|in_vitro|N/A|N/A|N/A|N/A
GSM2087422|N/A|N/A|N/A|N/A|Breast|N/A|Breast|MDA-MB-231|in_vitro|N/A|N/A|N/A|N/A
GSM2087423|N/A|N/A|N/A|N/A|Breast|N/A|Breast|T-47D|in_vitro|N/A|N/A|N/A|N/A
GSM2087424|N/A|N/A|N/A|N/A|Brain|N/A|Brain|SF-295|in_vitro|N/A|N/A|N/A|N/A
GSM2087425|N/A|N/A|N/A|N/A|Brain|N/A|Brain|SF-268|in_vitro|N/A|N/A|N/A|N/A
GSM2087426|N/A|N/A|N/A|N/A|Brain|N/A|Brain|SF-539|in_vitro|N/A|N/A|N/A|N/A
GSM2087427|N/A|N/A|N/A|N/A|Brain|N/A|Brain|SNB-75|in_vitro|N/A|N/A|N/A|N/A
GSM2087428|N/A|N/A|N/A|N/A|Brain|N/A|Brain|SNB-19|in_vitro|N/A|N/A|N/A|N/A
GSM2087429|N/A|N/A|N/A|N/A|Brain|N/A|Brain|U251|in_vitro|N/A|N/A|N/A|N/A
GSM2087430|N/A|N/A|N/A|N/A|Colon|N/A|Colon|COLO 205|in_vitro|N/A|N/A|N/A|N/A
GSM2087431|N/A|N/A|N/A|N/A|Colon|N/A|Colon|HCC-2998|in_vitro|N/A|N/A|N/A|N/A
GSM2087432|N/A|N/A|N/A|N/A|Colon|N/A|Colon|HCT-15|in_vitro|N/A|N/A|N/A|N/A
GSM2087433|N/A|N/A|N/A|N/A|Colon|N/A|Colon|HCT-116|in_vitro|N/A|N/A|N/A|N/A
GSM2087434|N/A|N/A|N/A|N/A|Colon|N/A|Colon|HT29|in_vitro|N/A|N/A|N/A|N/A
GSM2087435|N/A|N/A|N/A|N/A|Colon|N/A|Colon|KM12|in_vitro|N/A|N/A|N/A|N/A
GSM2087436|N/A|N/A|N/A|N/A|Colon|N/A|Colon|SW-620|in_vitro|N/A|N/A|N/A|N/A
GSM2087437|N/A|N/A|N/A|N/A|Other|N/A|Other|CCRF-CEM|in_vitro|N/A|N/A|N/A|N/A
GSM2087438|N/A|N/A|N/A|N/A|Other|N/A|Other|HL-60(TB)|in_vitro|N/A|N/A|N/A|N/A
GSM2087439|N/A|N/A|N/A|N/A|Other|N/A|Other|K-562|in_vitro|N/A|N/A|N/A|N/A
GSM2087440|N/A|N/A|N/A|N/A|Other|N/A|Other|MOLT-4|in_vitro|N/A|N/A|N/A|N/A
GSM2087441|N/A|N/A|N/A|N/A|Other|N/A|Other|RPMI-8226|in_vitro|N/A|N/A|N/A|N/A
GSM2087442|N/A|N/A|N/A|N/A|Other|N/A|Other|SR|in_vitro|N/A|N/A|N/A|N/A
GSM2087443|N/A|N/A|N/A|N/A|Lung|N/A|Lung|A549/ATCC|in_vitro|N/A|N/A|N/A|N/A
GSM2087444|N/A|N/A|N/A|N/A|Lung|N/A|Lung|EKVX|in_vitro|N/A|N/A|N/A|N/A
GSM2087445|N/A|N/A|N/A|N/A|Lung|N/A|Lung|HOP-92|in_vitro|N/A|N/A|N/A|N/A
GSM2087446|N/A|N/A|N/A|N/A|Lung|N/A|Lung|HOP-62|in_vitro|N/A|N/A|N/A|N/A
GSM2087447|N/A|N/A|N/A|N/A|Lung|N/A|Lung|NCI-H226|in_vitro|N/A|N/A|N/A|N/A
GSM2087448|N/A|N/A|N/A|N/A|Lung|N/A|Lung|NCI-H23|in_vitro|N/A|N/A|N/A|N/A
GSM2087449|N/A|N/A|N/A|N/A|Lung|N/A|Lung|NCI-H460|in_vitro|N/A|N/A|N/A|N/A
GSM2087450|N/A|N/A|N/A|N/A|Lung|N/A|Lung|NCI-H322M|in_vitro|N/A|N/A|N/A|N/A
GSM2087451|N/A|N/A|N/A|N/A|Lung|N/A|Lung|NCI-H522|in_vitro|N/A|N/A|N/A|N/A
GSM2087452|N/A|N/A|N/A|N/A|Skin|N/A|Skin|LOX IMVI|in_vitro|N/A|N/A|N/A|N/A
GSM2087453|N/A|N/A|N/A|N/A|Skin|N/A|Skin|M14|in_vitro|N/A|N/A|N/A|N/A
GSM2087454|N/A|N/A|N/A|N/A|Skin|N/A|Skin|MALME-3M|in_vitro|N/A|N/A|N/A|N/A
GSM2087455|N/A|N/A|N/A|N/A|Skin|N/A|Skin|MDA-N|in_vitro|N/A|N/A|N/A|N/A
GSM2087456|N/A|N/A|N/A|N/A|Skin|N/A|Skin|MDA-MB-435|in_vitro|N/A|N/A|N/A|N/A
GSM2087457|N/A|N/A|N/A|N/A|Skin|N/A|Skin|SK-MEL-2|in_vitro|N/A|N/A|N/A|N/A
GSM2087458|N/A|N/A|N/A|N/A|Skin|N/A|Skin|SK-MEL-28|in_vitro|N/A|N/A|N/A|N/A
GSM2087459|N/A|N/A|N/A|N/A|Skin|N/A|Skin|SK-MEL-5|in_vitro|N/A|N/A|N/A|N/A
GSM2087460|N/A|N/A|N/A|N/A|Skin|N/A|Skin|UACC-62|in_vitro|N/A|N/A|N/A|N/A
GSM2087461|N/A|N/A|N/A|N/A|Skin|N/A|Skin|UACC-257|in_vitro|N/A|N/A|N/A|N/A
GSM2087462|N/A|N/A|N/A|N/A|Ovary|N/A|Ovary|IGROV1|in_vitro|N/A|N/A|N/A|N/A
GSM2087463|N/A|N/A|N/A|N/A|Ovary|N/A|Ovary|NCI/ADR-RES|in_vitro|N/A|N/A|N/A|N/A
GSM2087464|N/A|N/A|N/A|N/A|Ovary|N/A|Ovary|OVCAR-4|in_vitro|N/A|N/A|N/A|N/A
GSM2087465|N/A|N/A|N/A|N/A|Ovary|N/A|Ovary|OVCAR-3|in_vitro|N/A|N/A|N/A|N/A
GSM2087466|N/A|N/A|N/A|N/A|Ovary|N/A|Ovary|OVCAR-5|in_vitro|N/A|N/A|N/A|N/A
GSM2087467|N/A|N/A|N/A|N/A|Ovary|N/A|Ovary|OVCAR-8|in_vitro|N/A|N/A|N/A|N/A
GSM2087468|N/A|N/A|N/A|N/A|Ovary|N/A|Ovary|SK-OV-3|in_vitro|N/A|N/A|N/A|N/A
GSM2087469|N/A|N/A|N/A|N/A|Prostate|N/A|Prostate|DU-145|in_vitro|N/A|N/A|N/A|N/A
GSM2087470|N/A|N/A|N/A|N/A|Prostate|N/A|Prostate|PC-3|in_vitro|N/A|N/A|N/A|N/A
GSM2087471|N/A|N/A|N/A|N/A|Prostate|N/A|Prostate|RC0.1|in_vitro|N/A|N/A|N/A|N/A
GSM2087472|N/A|N/A|N/A|N/A|Kidney|N/A|Kidney|786-0|in_vitro|N/A|N/A|N/A|N/A
GSM2087473|N/A|N/A|N/A|N/A|Kidney|N/A|Kidney|A498|in_vitro|N/A|N/A|N/A|N/A
GSM2087474|N/A|N/A|N/A|N/A|Kidney|N/A|Kidney|ACHN|in_vitro|N/A|N/A|N/A|N/A
GSM2087475|N/A|N/A|N/A|N/A|Kidney|N/A|Kidney|CAKI-1|in_vitro|N/A|N/A|N/A|N/A
GSM2087476|N/A|N/A|N/A|N/A|Kidney|N/A|Kidney|RXF 393|in_vitro|N/A|N/A|N/A|N/A
GSM2087477|N/A|N/A|N/A|N/A|Kidney|N/A|Kidney|SN12C|in_vitro|N/A|N/A|N/A|N/A
GSM2087478|N/A|N/A|N/A|N/A|Kidney|N/A|Kidney|TK-10|in_vitro|N/A|N/A|N/A|N/A
GSM2087479|N/A|N/A|N/A|N/A|Kidney|N/A|Kidney|UO-31|in_vitro|N/A|N/A|N/A|N/A
