GSM1001921|donor1|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|ctrl|freshly isolated|N/A|N/A
GSM1001922|donor2|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|ctrl|freshly isolated|N/A|N/A
GSM1001923|donor3|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|ctrl|freshly isolated|N/A|N/A
GSM1001924|donor1|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|case|7d on TCP|N/A|N/A
GSM1001925|donor2|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|case|7d on TCP|N/A|N/A
GSM1001926|donor3|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|case|7d on TCP|N/A|N/A
GSM1001927|donor1|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34- fraction|in_vitro|case|7d on TCP|N/A|N/A
GSM1001928|donor2|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34- fraction|in_vitro|case|7d on TCP|N/A|N/A
GSM1001929|donor3|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34- fraction|in_vitro|case|7d on TCP|N/A|N/A
GSM1001930|donor1|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|case|7d on MSC|N/A|N/A
GSM1001931|donor2|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|case|7d on MSC|N/A|N/A
GSM1001932|donor3|N/A|N/A|N/A|N/A|healthy|Whole Blood|CD34+ fraction|in_vitro|case|7d on MSC|N/A|N/A
