GSM2722207|N/A|N/A|N/A|N/A|H9|N/A|Cells|H9|in_vitro|ctrl|Primed_H9|N/A|Disease
GSM2722208|N/A|N/A|N/A|N/A|H9|N/A|Cells|H9|in_vitro|ctrl|Primed_H9|N/A|Disease
GSM2722209|N/A|N/A|N/A|N/A|H9|N/A|Cells|H9|in_vitro|ctrl|Primed_H9|N/A|Disease
GSM2722210|N/A|N/A|N/A|N/A|H9|N/A|Cells|H9|in_vitro|ctrl|Primed_H9|N/A|Disease
GSM2722211|N/A|N/A|N/A|N/A|H9|N/A|Cells|H9|in_vitro|case|Naive_H9|N/A|Disease
GSM2722212|N/A|N/A|N/A|N/A|H9|N/A|Cells|H9|in_vitro|case|Naive_H9|N/A|Disease
GSM2722214|N/A|N/A|N/A|N/A|H9|N/A|Cells|H9|in_vitro|case|Naive_H9|N/A|Disease
GSM2722215|N/A|N/A|N/A|N/A|RUES-2|N/A|Cells|RUES-2|in_vitro|ctrl|Primed_RUES2|N/A|Disease
GSM2722216|N/A|N/A|N/A|N/A|RUES-2|N/A|Cells|RUES-2|in_vitro|ctrl|Primed_RUES2|N/A|Disease
GSM2722217|N/A|N/A|N/A|N/A|RUES-2|N/A|Cells|RUES-2|in_vitro|ctrl|Primed_RUES2|N/A|Disease
GSM2722218|N/A|N/A|N/A|N/A|RUES-2|N/A|Cells|RUES-2|in_vitro|ctrl|Primed_RUES2|N/A|Disease
GSM2722219|N/A|N/A|N/A|N/A|RUES-2|N/A|Cells|RUES-2|in_vitro|case|Naive_RUES2|N/A|Disease
GSM2722220|N/A|N/A|N/A|N/A|RUES-2|N/A|Cells|RUES-2|in_vitro|case|Naive_RUES2|N/A|Disease
GSM2722221|N/A|N/A|N/A|N/A|RUES-2|N/A|Cells|RUES-2|in_vitro|case|Naive_RUES2|N/A|Disease
GSM2722222|N/A|N/A|N/A|N/A|RUES-2|N/A|Cells|RUES-2|in_vitro|case|Naive_RUES2|N/A|Disease
GSM2722213|N/A|N/A|N/A|N/A|H9|N/A|Cells|H9|in_vitro|case|Naive_H9|N/A|Disease
