GSM4134086|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment C|Atorvastatin|Small Molecule
GSM4134087|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment B|Mevastatin|Small Molecule
GSM4134088|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment D|Mevastatin|Small Molecule
GSM4134089|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment A|DMSO|Small Molecule
GSM4134090|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment D|Atorvastatin|Small Molecule
GSM4134091|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment D|DMSO|Small Molecule
GSM4134092|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment A|Mevastatin|Small Molecule
GSM4134093|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment C|Mevastatin|Small Molecule
GSM4134094|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment B|DMSO|Small Molecule
GSM4134095|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment A|Atorvastatin|Small Molecule
GSM4134096|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment B|Atorvastatin|Small Molecule
GSM4134097|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|Experiment C|DMSO|Small Molecule
