GSM2432888|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432889|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|Infinium HD FFPE DNA Restore Kit|Small Molecule
GSM2432890|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432891|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432892|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432893|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432894|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432895|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432896|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432897|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432898|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432899|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432900|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|Infinium HD FFPE DNA Restore Kit|Small Molecule
GSM2432901|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432902|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432903|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432904|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432905|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|Infinium HD FFPE DNA Restore Kit|Small Molecule
GSM2432906|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432907|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2432908|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|Infinium HD FFPE DNA Restore Kit|Small Molecule
GSM2432909|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432910|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432911|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
GSM2432912|N/A|N/A|N/A|N/A|N/A|Brain Tumor|Brain|N/A|in_vivo|N/A|N/A|REPLI-g|Genetic
