GSM2481704|N/A|N/A|Other|Other|11|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481705|N/A|N/A|Other|Other|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481706|N/A|N/A|N/A|F|11|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481707|N/A|N/A|Other|F|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481708|N/A|N/A|N/A|Other|11|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481709|N/A|N/A|Other|Other|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481710|N/A|N/A|Other|F|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481711|N/A|N/A|Other|F|11|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481712|N/A|N/A|N/A|Other|11|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481713|N/A|N/A|Other|Other|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481714|N/A|N/A|Other|F|12|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481715|N/A|N/A|N/A|F|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481716|N/A|N/A|Other|Other|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481717|N/A|N/A|Other|F|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481718|N/A|N/A|Other|Other|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481719|N/A|N/A|Other|F|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481720|N/A|N/A|Other|F|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481721|N/A|N/A|Other|Other|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481722|N/A|N/A|Other|F|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481723|N/A|N/A|N/A|Other|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481724|N/A|N/A|N/A|F|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481725|N/A|N/A|Other|F|12|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481726|N/A|N/A|N/A|Other|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481727|N/A|N/A|Other|Other|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481728|N/A|N/A|Other|F|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481729|N/A|N/A|Other|F|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481730|N/A|N/A|N/A|Other|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481731|N/A|N/A|Other|Other|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481732|N/A|N/A|Other|Other|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481733|N/A|N/A|Other|F|9|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481734|N/A|N/A|N/A|Other|10|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
GSM2481735|N/A|N/A|N/A|Other|12|N/A|N/A|Cells|N/A|N/A|N/A|N/A|N/A
