GSM1488674|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488675|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488676|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488677|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488678|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488679|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488680|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488681|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488682|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488683|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488684|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
GSM1488685|N/A|N/A|N/A|42|N/A|N/A|Cells|N/A|in_vivo|N/A|N/A|N/A|Genetic
