GSM3755144|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|week1|oxBS|N/A
GSM3755145|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|week1|oxBS|N/A
GSM3755146|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|IFC|oxBS|N/A
GSM3755147|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|IFC|oxBS|N/A
GSM3755148|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|IFC|oxBS|N/A
GSM3755149|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|prolif|oxBS|N/A
GSM3755150|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|prolif|oxBS|N/A
GSM3755151|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|prolif|BS2|N/A
GSM3755152|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|week1|BS|N/A
GSM3755153|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|week1|BS|N/A
GSM3755154|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|IFC|BS|N/A
GSM3755155|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|IFC|BS|N/A
GSM3755156|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|IFC|BS|N/A
GSM3755157|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|prolif|BS|N/A
GSM3755158|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|prolif|BS|N/A
GSM3755159|N/A|N/A|N/A|N/A|N/A|N/A|Liver|HepaRG|in_vitro|N/A|prolif|BS2|N/A
