GSM4146281|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|WT_veh|veh|N/A
GSM4146282|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|WT_veh|veh|N/A
GSM4146283|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|WT_veh|veh|N/A
GSM4146284|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|WT_E2|18 hours E2|N/A
GSM4146285|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|WT_E2|18 hours E2|N/A
GSM4146286|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|WT_E2|18 hours E2|N/A
GSM4146287|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|WT_DES|18 hours DES|N/A
GSM4146288|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|WT_DES|18 hours DES|N/A
GSM4146289|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|WT_DES|18 hours DES|N/A
GSM4146290|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|Q_veh|veh|Genetic
GSM4146291|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|Q_veh|veh|Genetic
GSM4146292|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|Q_veh|veh|Genetic
GSM4146293|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|Q_E2|18 hours E2|Genetic
GSM4146294|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|Q_E2|18 hours E2|Genetic
GSM4146295|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|Q_E2|18 hours E2|Genetic
GSM4146296|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|Q_DES|18 hours DES|Genetic
GSM4146297|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|Q_DES|18 hours DES|Genetic
GSM4146298|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|Q_DES|18 hours DES|Genetic
GSM4146299|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|R_veh|veh|Genetic
GSM4146300|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|R_veh|veh|Genetic
GSM4146301|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|ctrl|R_veh|veh|Genetic
GSM4146302|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|R_E2|18 hours E2|Genetic
GSM4146303|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|R_E2|18 hours E2|Genetic
GSM4146304|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|R_E2|18 hours E2|Genetic
GSM4146305|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|R_DES|18 hours DES|Genetic
GSM4146306|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|R_DES|18 hours DES|Genetic
GSM4146307|N/A|N/A|N/A|N/A|Breast|MB231|N/A|N/A|in_vitro|case|R_DES|18 hours DES|Genetic
