GSM760402|N/A|N/A|M|N/A|N/A|Healthy|Cells|HRCEpiC255|in_vitro|ctrl|N/A|N/A|N/A
GSM760244|N/A|N/A|F|N/A|N/A|Healthy|Cells|SIVF006|in_vitro|ctrl|N/A|N/A|N/A
GSM760279|N/A|N/A|F|N/A|N/A|Healthy|Cells|WA09|in_vitro|ctrl|N/A|N/A|N/A
GSM760365|N/A|N/A|F|N/A|N/A|Healthy|Cells|HDF51IPS6|in_vitro|ctrl|N/A|N/A|N/A
GSM760421|N/A|N/A|M|N/A|N/A|Healthy|Cells|HANSE21|in_vitro|ctrl|N/A|N/A|N/A
GSM760474|N/A|N/A|M|N/A|N/A|Healthy|Other|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM760373|N/A|N/A|F|N/A|N/A|Healthy|Cells|LLC8|in_vitro|ctrl|N/A|N/A|N/A
GSM760439|N/A|N/A|F|N/A|N/A|Healthy|Liver|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM760335|N/A|N/A|F|N/A|N/A|Healthy|Cells|HDF51IPS14|in_vitro|ctrl|N/A|N/A|N/A
GSM760291|N/A|N/A|M|N/A|N/A|Healthy|Cells|HES4|in_vitro|ctrl|N/A|N/A|N/A
GSM760376|N/A|N/A|F|N/A|N/A|Healthy|Cells|HDF51|in_vitro|ctrl|N/A|N/A|N/A
GSM760341|N/A|N/A|F|N/A|N/A|Healthy|Cells|IPS-IMR90C4|in_vitro|ctrl|N/A|N/A|N/A
GSM760446|N/A|N/A|F|N/A|N/A|Healthy|Skin|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM760311|N/A|N/A|M|N/A|N/A|Healthy|Cells|SIVF021|in_vitro|ctrl|N/A|N/A|N/A
GSM760404|N/A|N/A|M|N/A|N/A|Healthy|Cells|HRPTEpiC257|in_vitro|ctrl|N/A|N/A|N/A
GSM760460|N/A|N/A|M|N/A|N/A|Healthy|Colon|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM760231|N/A|N/A|F|N/A|N/A|Healthy|Cells|MEL2|in_vitro|ctrl|N/A|N/A|N/A
GSM760282|N/A|N/A|F|N/A|N/A|Healthy|Cells|WA09|in_vitro|ctrl|N/A|N/A|N/A
