GSM3314811|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|ctrl|EtOH_48h_replicate1|Ethanol|None
GSM3314812|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|ctrl|EtOH_48h_replicate2|Ethanol|None
GSM3314813|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|ctrl|EtOH_48h_replicate3|Ethanol|None
GSM3314814|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|ctrl|EtOH_48h_replicate4|Ethanol|None
GSM3314815|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|ctrl|EtOH_48h_replicate5|Ethanol|None
GSM3314816|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|ctrl|EtOH_48h_replicate6|Ethanol|None
GSM3314817|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|case|Echinaforce_48h_replicate1|Echinaforce|Small Molecule
GSM3314818|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|case|Echinaforce_48h_replicate2|Echinaforce|Small Molecule
GSM3314819|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|case|Echinaforce_48h_replicate3|Echinaforce|Small Molecule
GSM3314820|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|case|Echinaforce_48h_replicate4|Echinaforce|Small Molecule
GSM3314821|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|case|Echinaforce_48h_replicate5|Echinaforce|Small Molecule
GSM3314822|N/A|N/A|N/A|N/A|N/A|healthy|Cells|THP1|in_vitro|case|Echinaforce_48h_replicate6|Echinaforce|Small Molecule
