GSM1943746|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|ctrl|DMSO_D10_n1|N/A|Environmental
GSM1943747|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|ctrl|DMSO_D10_n2|N/A|Environmental
GSM1943748|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|ctrl|DMSO_D10_n4|N/A|Environmental
GSM1943749|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|TCDD_D10_n1|TCDD|Environmental
GSM1943750|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|TCDD_D10_n2|TCDD|Environmental
GSM1943751|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|TCDD_D10_n3|TCDD|Environmental
GSM1943752|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|TCDD_D10_n4|TCDD|Environmental
GSM1943753|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|PFOS_D10_n1|PFOS|Environmental
GSM1943754|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|PFOS_D10_n2|PFOS|Environmental
GSM1943755|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|PFOS_D10_n3|PFOS|Environmental
GSM1943756|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|PFOS_D10_n4|PFOS|Environmental
GSM1943757|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|TBT_D10_n1|TBT|Environmental
GSM1943758|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|TBT_D10_n2|TBT|Environmental
GSM1943759|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|TBT_D10_n3|TBT|Environmental
GSM1943760|N/A|Black|M|43|N/A|N/A|Adipose|N/A|in_vitro|case|TBT_D10_n4|TBT|Environmental
