GSM5938043|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|IGROV-1|in_vitro|ctrl|Sensitive|Not applicable|None
GSM5938044|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|OVCAR-3|in_vitro|ctrl|Sensitive|Not applicable|None
GSM5938045|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|OVCAR-4|in_vitro|ctrl|Sensitive|Not applicable|None
GSM5938046|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|OVCAR-5|in_vitro|ctrl|Sensitive|Not applicable|None
GSM5938047|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|IGROV-1|in_vitro|case|Resistant|Carboplatin|Small Molecule
GSM5938048|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|OVCAR-3|in_vitro|case|Resistant|Carboplatin|Small Molecule
GSM5938049|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|OVCAR-3|in_vitro|case|Resistant|Carboplatin|Small Molecule
GSM5938050|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|OVCAR-5|in_vitro|case|Resistant|Carboplatin|Small Molecule
GSM5938051|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|OVCAR-8|in_vitro|case|Resistant|Not applicable|None
GSM5938052|N/A|N/A|N/A|N/A|N/A|Ovarian Cancer|Ovary|Ovc316|in_vitro|case|Resistant|Not applicable|None
