GSM1499358|N/A|N/A|F|60|N/A|N/A|Cells|TCRαβ+ CD4+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499359|N/A|N/A|F|33|N/A|N/A|Cells|TCRαβ+ CD4+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499360|N/A|N/A|F|25|N/A|N/A|Cells|TCRαβ+ CD4+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499361|N/A|N/A|F|31|N/A|N/A|Cells|TCRαβ+ CD4+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499362|N/A|N/A|F|26|N/A|N/A|Cells|TCRαβ+ CD4+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499363|N/A|N/A|F|33|N/A|N/A|Cells|TCRαβ+ CD4+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499364|N/A|N/A|F|55|N/A|N/A|Cells|TCRαβ+ CD4+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499365|N/A|N/A|F|60|N/A|N/A|Cells|TCRαβ+ CD8+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499366|N/A|N/A|F|33|N/A|N/A|Cells|TCRαβ+ CD8+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499367|N/A|N/A|F|25|N/A|N/A|Cells|TCRαβ+ CD8+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499368|N/A|N/A|F|31|N/A|N/A|Cells|TCRαβ+ CD8+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499369|N/A|N/A|F|26|N/A|N/A|Cells|TCRαβ+ CD8+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499370|N/A|N/A|F|33|N/A|N/A|Cells|TCRαβ+ CD8+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499371|N/A|N/A|F|55|N/A|N/A|Cells|TCRαβ+ CD8+ T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499372|N/A|N/A|F|60|N/A|N/A|Cells|TCRαβ+ DN T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499373|N/A|N/A|F|33|N/A|N/A|Cells|TCRαβ+ DN T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499374|N/A|N/A|F|25|N/A|N/A|Cells|TCRαβ+ DN T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499375|N/A|N/A|F|31|N/A|N/A|Cells|TCRαβ+ DN T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499376|N/A|N/A|F|26|N/A|N/A|Cells|TCRαβ+ DN T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499377|N/A|N/A|F|33|N/A|N/A|Cells|TCRαβ+ DN T cells|in_vitro|N/A|N/A|N/A|N/A
GSM1499378|N/A|N/A|F|55|N/A|N/A|Cells|TCRαβ+ DN T cells|in_vitro|N/A|N/A|N/A|N/A
