GSM4120581|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligoastrocytoma|Brain|BT142|in_vitro|N/A|N/A|hypoxia|Environmental
GSM4120582|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligoastrocytoma|Brain|BT142|in_vitro|N/A|N/A|hypoxia|Environmental
GSM4120583|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligoastrocytoma|Brain|BT142|in_vitro|N/A|N/A|normoxia|Environmental
GSM4120584|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligoastrocytoma|Brain|BT142|in_vitro|N/A|N/A|normoxia|Environmental
GSM4120585|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligodendroglioma|Brain|TS603|in_vitro|N/A|N/A|hypoxia|Environmental
GSM4120586|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligodendroglioma|Brain|TS603|in_vitro|N/A|N/A|hypoxia|Environmental
GSM4120587|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligodendroglioma|Brain|TS603|in_vitro|N/A|N/A|hypoxia|Environmental
GSM4120588|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligodendroglioma|Brain|TS603|in_vitro|N/A|N/A|normoxia|Environmental
GSM4120589|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligodendroglioma|Brain|TS603|in_vitro|N/A|N/A|normoxia|Environmental
GSM4120590|N/A|N/A|N/A|N/A|IDH1 mutant|grade III oligodendroglioma|Brain|TS603|in_vitro|N/A|N/A|normoxia|Environmental
