GSM3660625|N/A|N/A|N/A|N/A|WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660626|N/A|N/A|N/A|N/A|WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660627|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660628|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660629|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|Decitabine|Small Molecule
GSM3660630|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM3660631|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660632|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660633|N/A|N/A|N/A|N/A|WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660634|N/A|N/A|N/A|N/A|WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660635|N/A|N/A|N/A|N/A|WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660636|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660637|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660638|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660639|N/A|N/A|N/A|N/A|R132H/-|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
GSM3660640|N/A|N/A|N/A|N/A|R132H/WT|N/A|Brain|glioma cells|in_vitro|N/A|N/A|N/A|Genetic
