GSM1564241|Donor A|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564242|Donor A|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564243|Donor B|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564244|Donor B|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564245|Donor C|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564246|Donor C|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564247|Donor D|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564248|Donor D|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564249|Donor E|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564250|Donor E|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564251|Donor F|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564252|Donor F|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564253|Donor G|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564254|Donor G|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564255|Donor H|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564256|Donor H|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564257|Donor I|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564258|Donor I|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564259|Donor J|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564260|Donor J|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564261|Donor K|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564262|Donor K|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564263|Donor L|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564264|Donor L|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564265|Donor M|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564266|Donor M|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564267|Donor N|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564268|Donor N|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564269|Donor O|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564270|Donor O|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564271|Donor P|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564272|Donor P|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564273|Donor Q|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564274|Donor Q|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564275|Donor R|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564276|Donor R|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564277|Donor S|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564278|Donor S|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
GSM1564279|Donor T|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|High quality sperm|N/A|N/A
GSM1564280|Donor T|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|N/A|Low quality sperm|N/A|N/A
