GSM822619|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822620|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822621|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822622|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822623|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822624|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822625|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822626|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822627|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822628|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822629|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822630|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822631|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822632|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822633|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822634|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822635|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822636|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
GSM822637|N/A|N/A|F|N/A|N/A|Peripheral blood mononuclear cells|N/A|Whole Blood|in_vivo|ctrl|N/A|N/A|N/A
