GSM5776250|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776251|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776252|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776253|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776254|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776255|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776256|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776257|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776258|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776259|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776260|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776261|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776262|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776263|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776264|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776265|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776266|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776267|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776268|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776269|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776270|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776271|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776272|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
GSM5776273|N/A|N/A|N/A|N/A|N/A|tumor|Brain|N/A|N/A|N/A|N/A|N/A|N/A
