GSM2091370|B12|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091371|B16|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091372|A12|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091373|D22|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091374|C9|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091375|C13|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091376|A8|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091377|D4|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091378|B24|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091379|C17|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091380|A11|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091381|A7|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091382|C25|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091383|D6|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091384|C24|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091385|D25|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091386|B4|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091387|A25|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091388|B9|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091389|D13|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091390|C26|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091391|D18|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091392|A18|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091393|D21|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091394|A23|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091395|A24|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091396|B15|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091397|B22|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091398|B17|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091399|C14|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091400|C5|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091401|D24|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091402|C2|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091403|D15|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091404|B2|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091405|A6|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091406|B21|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091407|B1|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091408|C16|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091409|D16|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
GSM2091410|A21|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091411|C7|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH minus mock treated|N/A|Genetic
GSM2091412|A2|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 minus treated with 5uM Cisplatin|Cisplatin|Genetic
GSM2091413|D9|N/A|F|N/A|N/A|ovarian cancer|Cells|A2780/CP70|in_vitro|N/A|MLH1 plus mock treated|N/A|Genetic
