GSM1303510|patient 83|N/A|N/A|N/A|N/A|healthy|Other|fibroblast parental cell line|in_vitro|ctrl|parental|no treatment|None
GSM1303511|patient 83|N/A|N/A|N/A|N/A|healthy|Other|ips derived cell line|in_vitro|ctrl|P13|no treatment|None
GSM1303512|patient 83|N/A|N/A|N/A|N/A|healthy|Other|ips derived cell line|in_vitro|ctrl|P39|no treatment|None
GSM1303513|patient 14|N/A|N/A|N/A|N/A|healthy|Other|fibroblast parental cell line|in_vitro|ctrl|parental|no treatment|None
GSM1303514|patient 14|N/A|N/A|N/A|N/A|healthy|Other|ips derived cell line|in_vitro|ctrl|P6|no treatment|None
GSM1303515|patient 14|N/A|N/A|N/A|N/A|healthy|Other|ips derived cell line|in_vitro|ctrl|P52|no treatment|None
GSM1303516|N/A|N/A|N/A|N/A|N/A|healthy|Other|primary corneal parental cell line|in_vitro|ctrl|parental|no treatment|None
GSM1303517|N/A|N/A|N/A|N/A|N/A|healthy|Other|ips derived cell line|in_vitro|ctrl|P9|no treatment|None
GSM1303518|N/A|N/A|N/A|N/A|N/A|healthy|Other|ips derived cell line|in_vitro|ctrl|P41|no treatment|None
GSM1303519|N/A|N/A|N/A|N/A|N/A|healthy|Other|primary corneal cell line|in_vitro|ctrl|on AM|no treatment|None
GSM1303520|patient 83|N/A|N/A|N/A|N/A|healthy|Other|ips derived cell line|in_vitro|case|on AM|no treatment|None
GSM1303521|patient 14|N/A|N/A|N/A|N/A|healthy|Other|ips derived cell line|in_vitro|case|on AM|no treatment|None
