GSM1004625|N/A|N/A|M|N/A|N/A|N/A|Skin|HFF637|in_vitro|N/A|N/A|N/A|N/A
GSM1004626|N/A|N/A|M|N/A|N/A|N/A|Skin|HFF148|in_vitro|N/A|N/A|N/A|N/A
GSM1004627|N/A|N/A|M|N/A|N/A|N/A|Skin|HFF149|in_vitro|N/A|N/A|N/A|N/A
GSM1004628|N/A|N/A|M|N/A|N/A|N/A|Cells|HFF637|in_vitro|N/A|N/A|Yamanaka transcription factors and MIM media|Genetic
GSM1004629|N/A|N/A|M|N/A|N/A|N/A|Cells|HFF637|in_vitro|N/A|N/A|Yamanaka Transcription Factors and miR302-367|Genetic
GSM1004630|N/A|N/A|M|N/A|N/A|N/A|Muscle|HFF637|in_vitro|N/A|N/A|Yamanaka Transcription Factors and miR302-368|Genetic
GSM1004631|N/A|N/A|M|N/A|N/A|N/A|Muscle|HFF637|in_vitro|N/A|N/A|Yamanaka Transcription Factors|Genetic
GSM1004632|N/A|N/A|N/A|N/A|N/A|N/A|Cells|K633|in_vitro|N/A|N/A|N/A|N/A
GSM1004633|N/A|N/A|F|N/A|N/A|N/A|Cells|HUES9|in_vitro|N/A|N/A|N/A|N/A
GSM1004634|N/A|N/A|F|N/A|N/A|N/A|Muscle|HUES9|in_vitro|N/A|N/A|N/A|N/A
GSM1004635|N/A|N/A|N/A|N/A|N/A|N/A|Cells|K633|in_vitro|N/A|N/A|N/A|N/A
GSM1004636|N/A|N/A|F|N/A|N/A|N/A|Cells|HUES9|in_vitro|N/A|N/A|N/A|N/A
GSM1004637|N/A|N/A|N/A|N/A|N/A|N/A|Cells|K633|in_vitro|N/A|N/A|N/A|N/A
GSM1004638|N/A|N/A|F|N/A|N/A|N/A|Cells|HUES9|in_vitro|N/A|N/A|N/A|N/A
GSM1004639|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|K633|in_vitro|N/A|N/A|N/A|N/A
GSM1004640|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|HBVSMC266|in_vitro|N/A|N/A|N/A|N/A
GSM1004641|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|HESMC267|in_vitro|N/A|N/A|N/A|N/A
GSM1004642|N/A|N/A|N/A|N/A|N/A|N/A|Muscle|HSkMC268|in_vitro|N/A|N/A|N/A|N/A
GSM1004643|N/A|N/A|F|N/A|N/A|N/A|Cells|HUVECBF2|in_vitro|N/A|N/A|N/A|N/A
GSM1004644|N/A|N/A|N/A|N/A|N/A|N/A|Cells|HUVECWF8|in_vitro|N/A|N/A|N/A|N/A
GSM1004645|N/A|N/A|N/A|N/A|N/A|N/A|Cells|HUVEC632|in_vitro|N/A|N/A|N/A|N/A
GSM1004646|N/A|N/A|F|N/A|N/A|N/A|Cells|WA09|in_vitro|N/A|N/A|N/A|N/A
GSM1004647|N/A|N/A|F|N/A|N/A|N/A|Cells|WA09|in_vitro|N/A|N/A|N/A|N/A
GSM1004648|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51|in_vitro|N/A|N/A|N/A|N/A
GSM1004649|N/A|N/A|F|N/A|N/A|N/A|Cells|HDF51|in_vitro|N/A|N/A|N/A|N/A
