GSM3108413|2|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|ctrl|UC2_d3|unstimulated|N/A
GSM3108414|6|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|ctrl|UC6_d3|unstimulated|N/A
GSM3108415|7|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|ctrl|UC7_d3|unstimulated|N/A
GSM3108416|12|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|ctrl|UC12_d3|unstimulated|N/A
GSM3108417|2|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC2_d3|interferon-gamma stimulated|N/A
GSM3108418|6|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC6_d3|interferon-gamma stimulated|N/A
GSM3108419|7|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC7_d3|interferon-gamma stimulated|N/A
GSM3108420|12|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC12_d3|interferon-gamma stimulated|N/A
GSM3108421|2|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC2_d3|TGF-beta stimulated|N/A
GSM3108422|6|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC6_d3|TGF-beta stimulated|N/A
GSM3108423|7|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC7_d3|TGF-beta stimulated|N/A
GSM3108424|12|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC12_d3|TGF-beta stimulated|N/A
GSM3108425|2|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC2_d3|Multi-factor combination stimulated|N/A
GSM3108426|6|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC6_d3|Multi-factor combination stimulated|N/A
GSM3108427|7|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC7_d3|Multi-factor combination stimulated|N/A
GSM3108428|12|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC12_d3|Multi-factor combination stimulated|N/A
GSM3108429|2|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|ctrl|UC2_d17|unstimulated|N/A
GSM3108430|6|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|ctrl|UC6_d17|unstimulated|N/A
GSM3108431|7|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|ctrl|UC7_d17|unstimulated|N/A
GSM3108432|12|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|ctrl|UC12_d17|unstimulated|N/A
GSM3108433|2|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC2_d17|interferon-gamma stimulated|N/A
GSM3108434|6|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC6_d17|interferon-gamma stimulated|N/A
GSM3108435|7|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC7_d17|interferon-gamma stimulated|N/A
GSM3108436|12|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC12_d17|interferon-gamma stimulated|N/A
GSM3108437|2|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC2_d17|TGF-beta stimulated|N/A
GSM3108438|6|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC6_d17|TGF-beta stimulated|N/A
GSM3108439|7|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC7_d17|TGF-beta stimulated|N/A
GSM3108440|12|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC12_d17|TGF-beta stimulated|N/A
GSM3108441|2|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC2_d17|Multi-factor combination stimulated|N/A
GSM3108442|6|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC6_d17|Multi-factor combination stimulated|N/A
GSM3108443|7|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC7_d17|Multi-factor combination stimulated|N/A
GSM3108444|12|N/A|N/A|N/A|N/A|N/A|Other|N/A|in_vitro|case|UC12_d17|Multi-factor combination stimulated|N/A
